id,manufacturer_id,name,created_at,updated_at
114,9,"80486 DX2","2014-11-17 00:02:02.818287","2014-11-17 00:02:02.818287"
115,9,"80486 DX4","2014-11-17 00:02:02.932651","2014-11-17 00:02:02.932651"
116,9,"Core 2 Quad Extreme","2014-11-17 00:02:05.896572","2014-11-17 00:02:05.896572"
117,9,"Pentium 4 EE","2014-11-17 00:02:08.865796","2014-11-17 00:02:08.865796"
118,9,"Pentium D","2014-11-17 00:02:08.958410","2014-11-17 00:02:08.958410"
119,9,"Pentium EE","2014-11-17 00:02:09.379229","2014-11-17 00:02:09.379229"
120,9,"Pentium II","2014-11-17 00:02:09.451038","2014-11-17 00:02:09.451038"
121,9,"Pentium MMX","2014-11-17 00:02:10.596984","2014-11-17 00:02:10.596984"
122,9,"Pentium Pro","2014-11-17 00:02:10.683045","2014-11-17 00:02:10.683045"
123,17,R10000,"2014-11-17 00:02:15.233355","2014-11-17 00:02:15.233355"
124,17,R2000,"2014-11-17 00:02:15.514194","2014-11-17 00:02:15.514194"
125,17,R3000,"2014-11-17 00:02:15.566451","2014-11-17 00:02:15.566451"
126,17,R4000,"2014-11-17 00:02:15.607921","2014-11-17 00:02:15.607921"
127,17,R4400,"2014-11-17 00:02:15.653093","2014-11-17 00:02:15.653093"
128,17,R4600,"2014-11-17 00:02:15.849295","2014-11-17 00:02:15.849295"
129,17,R5000,"2014-11-17 00:02:16.000700","2014-11-17 00:02:16.000700"
130,17,R8000,"2014-11-17 00:02:16.144348","2014-11-17 00:02:16.144348"
131,17,74K,"2014-11-17 00:02:16.218677","2014-11-17 00:02:16.218677"
132,23,6502,"2014-11-17 00:02:16.265228","2014-11-17 00:02:16.265228"
133,23,6510,"2014-11-17 00:02:16.430128","2014-11-17 00:02:16.430128"
134,10,6800,"2014-11-17 00:02:16.485960","2014-11-17 00:02:16.485960"
135,10,68000,"2014-11-17 00:02:16.525560","2014-11-17 00:02:16.525560"
136,10,68010,"2014-11-17 00:02:16.570748","2014-11-17 00:02:16.570748"
137,10,68020,"2014-11-17 00:02:16.616513","2014-11-17 00:02:16.616513"
138,10,68030,"2014-11-17 00:02:16.674642","2014-11-17 00:02:16.674642"
139,10,68040,"2014-11-17 00:02:16.717207","2014-11-17 00:02:16.717207"
140,10,68060,"2014-11-17 00:02:16.775716","2014-11-17 00:02:16.775716"
141,10,PowerPC,"2014-11-17 00:02:16.814401","2014-11-17 00:02:16.814401"
142,24,Nx586,"2014-11-17 00:02:16.921202","2014-11-17 00:02:16.921202"
143,25,hyperSPARC,"2014-11-17 00:02:16.977488","2014-11-17 00:02:16.977488"
144,18,R12000,"2014-11-17 00:02:17.145971","2014-11-17 00:02:17.145971"
145,18,R12000A,"2014-11-17 00:02:17.278379","2014-11-17 00:02:17.278379"
146,18,R14000,"2014-11-17 00:02:17.322918","2014-11-17 00:02:17.322918"
147,18,R14000A,"2014-11-17 00:02:17.362993","2014-11-17 00:02:17.362993"
148,19,"microSPARC I","2014-11-17 00:02:17.399680","2014-11-17 00:02:17.399680"
149,19,"SuperSPARC I","2014-11-17 00:02:17.557544","2014-11-17 00:02:17.557544"
150,19,"SuperSPARC II","2014-11-17 00:02:17.693995","2014-11-17 00:02:17.693995"
151,19,UltraSPARC,"2014-11-17 00:02:17.775491","2014-11-17 00:02:17.775491"
152,19,"UltraSPARC II","2014-11-17 00:02:17.953614","2014-11-17 00:02:17.953614"
153,19,"UltraSPARC IIe","2014-11-17 00:02:18.217373","2014-11-17 00:02:18.217373"
154,19,"UltraSPARC IIi","2014-11-17 00:02:18.265911","2014-11-17 00:02:18.265911"
155,19,"UltraSPARC III","2014-11-17 00:02:18.593608","2014-11-17 00:02:18.593608"
156,19,"UltraSPARC III Cu","2014-11-17 00:02:18.750324","2014-11-17 00:02:18.750324"
157,19,"UltraSPARC IIIi","2014-11-17 00:02:18.875194","2014-11-17 00:02:18.875194"
158,19,"UltraSPARC T1","2014-11-17 00:02:19.078761","2014-11-17 00:02:19.078761"
159,19,"UltraSPARC T2","2014-11-17 00:02:19.143885","2014-11-17 00:02:19.143885"
160,26,Z80,"2014-11-17 00:02:19.213925","2014-11-17 00:02:19.213925"
161,27,"WDC 65C02","2014-11-17 00:02:19.293070","2014-11-17 00:02:19.293070"
162,27,"WDC 65816","2014-11-17 00:02:19.445694","2014-11-17 00:02:19.445694"
163,28,WinChip,"2014-11-17 00:02:19.533860","2014-11-17 00:02:19.533860"
164,26,Z8000,"2014-11-17 00:02:19.659150","2014-11-17 00:02:19.659150"
165,26,Z80000,"2014-11-17 00:02:19.696734","2014-11-17 00:02:19.696734"
166,1,Am29000,"2014-11-17 00:02:19.735410","2014-11-17 00:02:19.735410"
167,1,Am29030,"2014-11-17 00:02:19.783729","2014-11-17 00:02:19.783729"
168,1,Am29035,"2014-11-17 00:02:19.831630","2014-11-17 00:02:19.831630"
169,1,Am29040,"2014-11-17 00:02:19.878289","2014-11-17 00:02:19.878289"
170,1,Am29050,"2014-11-17 00:02:19.912832","2014-11-17 00:02:19.912832"
171,9,80186,"2014-11-17 00:02:19.950098","2014-11-17 00:02:19.950098"
172,9,iAPX432,"2014-11-17 00:02:19.989069","2014-11-17 00:02:19.989069"
173,9,i860,"2014-11-17 00:02:20.024183","2014-11-17 00:02:20.024183"
174,9,i960,"2014-11-17 00:02:20.060071","2014-11-17 00:02:20.060071"
175,10,88000,"2014-11-17 00:02:20.106543","2014-11-17 00:02:20.106543"
176,3,StrongARM,"2014-11-17 00:02:20.141941","2014-11-17 00:02:20.141941"
177,17,7000,"2014-11-17 00:02:20.258169","2014-11-17 00:02:20.258169"
178,17,R4300,"2014-11-17 00:02:20.301971","2014-11-17 00:02:20.301971"
179,17,3520,"2014-11-17 00:02:20.372997","2014-11-17 00:02:20.372997"
180,17,5900,"2014-11-17 00:02:20.419508","2014-11-17 00:02:20.419508"
181,6,PA8800,"2014-11-17 00:02:20.461016","2014-11-17 00:02:20.461016"
182,6,PA8900,"2014-11-17 00:02:20.500877","2014-11-17 00:02:20.500877"
183,9,Core,"2014-11-17 00:02:21.345244","2014-11-17 00:02:21.345244"
184,9,Core2,"2014-11-17 00:02:21.912398","2014-11-17 00:02:21.912398"
185,9,"Pentium III Mobile","2014-11-17 00:02:24.885928","2014-11-17 00:02:24.885928"
186,9,"Xeon Phi Coprocessors","2014-11-17 00:02:27.596448","2014-11-17 00:02:27.596448"
187,1,A4,"2014-11-17 00:02:32.524130","2014-11-17 00:02:32.524130"
188,1,A10,"2014-11-17 00:02:32.562730","2014-11-17 00:02:32.562730"
189,1,A8,"2014-11-17 00:02:32.603200","2014-11-17 00:02:32.603200"
190,1,A6,"2014-11-17 00:02:32.640816","2014-11-17 00:02:32.640816"
191,9,,"2014-11-17 00:02:35.901737","2014-11-17 00:02:35.901737"
192,9,"Core M","2014-11-17 00:02:40.714321","2014-11-17 00:02:40.714321"
193,9,"Communications Infrastructure","2014-11-17 00:02:40.835855","2014-11-17 00:02:40.835855"
