index,in Watt,,,
model,TDP,n_cores,TDP_per_core,source
Core i3 i3-2328M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-4020Y,11.5,2,5.75,http://cpudb.stanford.edu
Core i3 i3-4012Y,11.5,2,5.75,http://cpudb.stanford.edu
Core i3 i3-350M,35,2,17.5,http://cpudb.stanford.edu
Core i3 550,73,2,36.5,http://cpudb.stanford.edu
Core i3 530,73,2,36.5,http://cpudb.stanford.edu
Core i3 i3-2377M,17,2,8.5,http://cpudb.stanford.edu
Core i3 i3-2375M,17,2,8.5,http://cpudb.stanford.edu
Core 2 Quad Extreme QX9300,45,4,11.25,http://cpudb.stanford.edu
Core 2 Quad Extreme QX6850,130,4,32.5,http://cpudb.stanford.edu
Pentium D 840,130,2,65,http://cpudb.stanford.edu
Pentium D 935,95,2,47.5,http://cpudb.stanford.edu
Pentium D 820,95,2,47.5,http://cpudb.stanford.edu
Pentium D 950,130,2,65,http://cpudb.stanford.edu
Pentium D 915,95,2,47.5,http://cpudb.stanford.edu
Pentium D 925,95,2,47.5,http://cpudb.stanford.edu
Pentium D 945,95,2,47.5,http://cpudb.stanford.edu
Pentium D 920,95,2,47.5,http://cpudb.stanford.edu
Pentium D 830,130,2,65,http://cpudb.stanford.edu
Pentium D 940,130,2,65,http://cpudb.stanford.edu
Pentium D 960,130,2,65,http://cpudb.stanford.edu
Pentium D 930,95,2,47.5,http://cpudb.stanford.edu
Pentium D 805,95,2,47.5,http://cpudb.stanford.edu
Core T1350,31,1,31,http://cpudb.stanford.edu
Core T1250,31,1,31,http://cpudb.stanford.edu
Core T2700,31,2,15.5,http://cpudb.stanford.edu
Core T2400,31,2,15.5,http://cpudb.stanford.edu
Core U1500,5.5,1,5.5,http://cpudb.stanford.edu
Core T1400,27,1,27,http://cpudb.stanford.edu
Core U1300,6,1,6,http://cpudb.stanford.edu
Core U2400,9,2,4.5,http://cpudb.stanford.edu
Core L2300,15,2,7.5,http://cpudb.stanford.edu
