product_id,name,time,source,intended_usage,tdp (W),cores,threads
232175,Intel® Core™ i7-1370PE Processor,2025-03-20 15:49:12,https://www.intel.com/content/www/us/en/products/sku/232175/intel-core-i71370pe-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,28,14,20
235070,Intel® Core™ i7-1375PRE Processor,2025-03-20 15:49:12,https://www.intel.com/content/www/us/en/products/sku/235070/intel-core-i71375pre-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,28,14,20
232164,Intel® Core™ i7-13800H Processor,2025-03-20 15:49:13,https://www.intel.com/content/www/us/en/products/sku/232164/intel-core-i713800h-processor-24m-cache-up-to-5-20-ghz/specifications.html,local,45,14,20
232150,Intel® Core™ i7-13800HE Processor,2025-03-20 15:49:13,https://www.intel.com/content/www/us/en/products/sku/232150/intel-core-i713800he-processor-24m-cache-up-to-5-00-ghz/specifications.html,local,45,14,20
232161,Intel® Core™ i7-13850HX Processor,2025-03-20 15:49:14,https://www.intel.com/content/www/us/en/products/sku/232161/intel-core-i713850hx-processor-30m-cache-up-to-5-30-ghz/specifications.html,local,55,20,28
235076,Intel® Core™ i7-13800HRE Processor,2025-03-20 15:49:14,https://www.intel.com/content/www/us/en/products/sku/235076/intel-core-i713800hre-processor-24m-cache-up-to-5-00-ghz/specifications.html,local,45,14,20
230500,Intel® Core™ i7-13700K Processor,2025-03-20 15:49:15,https://www.intel.com/content/www/us/en/products/sku/230500/intel-core-i713700k-processor-30m-cache-up-to-5-40-ghz/specifications.html,local,125,16,24
230489,Intel® Core™ i7-13700KF Processor,2025-03-20 15:49:15,https://www.intel.com/content/www/us/en/products/sku/230489/intel-core-i713700kf-processor-30m-cache-up-to-5-40-ghz/specifications.html,local,125,16,24
235939,Intel® Core™ i7-1365URE Processor,2025-03-20 15:49:15,https://www.intel.com/content/www/us/en/products/sku/235939/intel-core-i71365ure-processor-12m-cache-up-to-4-90-ghz/specifications.html,local,15,10,12
235938,Intel® Core™ i7-1366URE Processor,2025-03-20 15:49:16,https://www.intel.com/content/www/us/en/products/sku/235938/intel-core-i71366ure-processor-12m-cache-up-to-4-90-ghz/specifications.html,local,15,10,12
235073,Intel® Core™ i7-1370PRE Processor,2025-03-20 15:49:16,https://www.intel.com/content/www/us/en/products/sku/235073/intel-core-i71370pre-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,28,14,20
232143,Intel® Core™ i5-1334U Processor,2025-03-20 15:49:17,https://www.intel.com/content/www/us/en/products/sku/232143/intel-core-i51334u-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,15,10,12
232153,Intel® Core™ i5-1335U Processor,2025-03-20 15:49:17,https://www.intel.com/content/www/us/en/products/sku/232153/intel-core-i51335u-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,15,10,12
233389,Intel® Core™ i5-1335UE Processor,2025-03-20 15:49:17,https://www.intel.com/content/www/us/en/products/sku/233389/intel-core-i51335ue-processor-12m-cache-up-to-4-50-ghz/specifications.html,local,15,10,12
230495,Intel® Core™ i5-13400 Processor,2025-03-20 15:49:18,https://www.intel.com/content/www/us/en/products/sku/230495/intel-core-i513400-processor-20m-cache-up-to-4-60-ghz/specifications.html,local,65,10,16
232148,Intel® Core™ i5-13400E Processor,2025-03-20 15:49:18,https://www.intel.com/content/www/us/en/products/sku/232148/intel-core-i513400e-processor-20m-cache-up-to-4-60-ghz/specifications.html,local,65,10,16
230501,Intel® Core™ i5-13400F Processor,2025-03-20 15:49:19,https://www.intel.com/content/www/us/en/products/sku/230501/intel-core-i513400f-processor-20m-cache-up-to-4-60-ghz/specifications.html,local,65,10,16
230577,Intel® Core™ i5-13400T Processor,2025-03-20 15:49:19,https://www.intel.com/content/www/us/en/products/sku/230577/intel-core-i513400t-processor-20m-cache-up-to-4-40-ghz/specifications.html,local,35,10,16
232126,Intel® Core™ i5-1340P Processor,2025-03-20 15:49:20,https://www.intel.com/content/www/us/en/products/sku/232126/intel-core-i51340p-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,28,12,16
232157,Intel® Core™ i5-1340PE Processor,2025-03-20 15:49:20,https://www.intel.com/content/www/us/en/products/sku/232157/intel-core-i51340pe-processor-12m-cache-up-to-4-50-ghz/specifications.html,local,28,12,16
232173,Intel® Core™ i5-13420H Processor,2025-03-20 15:49:21,https://www.intel.com/content/www/us/en/products/sku/232173/intel-core-i513420h-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,45,8,12
232132,Intel® Core™ i5-13450HX Processor,2025-03-20 15:49:21,https://www.intel.com/content/www/us/en/products/sku/232132/intel-core-i513450hx-processor-20m-cache-up-to-4-60-ghz/specifications.html,local,55,10,16
232127,Intel® Core™ i5-1345U Processor,2025-03-20 15:49:21,https://www.intel.com/content/www/us/en/products/sku/232127/intel-core-i51345u-processor-12m-cache-up-to-4-70-ghz/specifications.html,local,15,10,12
233392,Intel® Core™ i5-1345UE Processor,2025-03-20 15:49:22,https://www.intel.com/content/www/us/en/products/sku/233392/intel-core-i51345ue-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,15,10,12
235940,Intel® Core™ i5-1345URE Processor,2025-03-20 15:49:23,https://www.intel.com/content/www/us/en/products/sku/235940/intel-core-i51345ure-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,15,10,12
230580,Intel® Core™ i5-13500 Processor,2025-03-20 15:49:23,https://www.intel.com/content/www/us/en/products/sku/230580/intel-core-i513500-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,65,14,20
232134,Intel® Core™ i5-13500E Processor,2025-03-20 15:49:23,https://www.intel.com/content/www/us/en/products/sku/232134/intel-core-i513500e-processor-24m-cache-up-to-4-60-ghz/specifications.html,local,65,14,20
232147,Intel® Core™ i5-13500H Processor,2025-03-20 15:49:24,https://www.intel.com/content/www/us/en/products/sku/232147/intel-core-i513500h-processor-18m-cache-up-to-4-70-ghz/specifications.html,local,45,12,16
232156,Intel® Core™ i5-13500HX Processor,2025-03-20 15:49:24,https://www.intel.com/content/www/us/en/products/sku/232156/intel-core-i513500hx-processor-24m-cache-up-to-4-70-ghz/specifications.html,local,55,14,20
230578,Intel® Core™ i5-13500T Processor,2025-03-20 15:49:25,https://www.intel.com/content/www/us/en/products/sku/230578/intel-core-i513500t-processor-24m-cache-up-to-4-60-ghz/specifications.html,local,35,14,20
