name,launch date,source,intended usage,tdp (W),cores,threads
amd ryzen 5 4600ge,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_5/4600ge,Desktop,35.0,6,12.0
amd ryzen 5 4600h,2020-01-06,https://en.wikichip.org/wiki/amd/ryzen_5/4600h,Mobile,45.0,6,12.0
amd ryzen 5 4600hs,2020-03-16,https://en.wikichip.org/wiki/amd/ryzen_5/4600hs,Mobile,35.0,6,12.0
amd ryzen 5 4600u,2020-01-06,https://en.wikichip.org/wiki/amd/ryzen_5/4600u,Mobile,15.0,6,12.0
amd ryzen 5 4680u,2021-04-13,https://en.wikichip.org/wiki/amd/ryzen_5/4680u,Mobile,15.0,6,12.0
amd ryzen 5 5500u,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_5/5500u,Mobile,15.0,6,12.0
amd ryzen 5 5600g,2021-04-13,https://en.wikichip.org/wiki/amd/ryzen_5/5600g,Desktop,65.0,6,12.0
amd ryzen 5 5600ge,2021-04-13,https://en.wikichip.org/wiki/amd/ryzen_5/5600ge,Desktop,35.0,6,12.0
amd ryzen 5 5600h,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_5/5600h,Mobile,45.0,6,12.0
amd ryzen 5 5600hs,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_5/5600hs,Mobile,35.0,6,12.0
amd ryzen 5 5600u,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_5/5600u,Mobile,15.0,6,12.0
amd ryzen 5 5600x,2020-11-05,https://en.wikichip.org/wiki/amd/ryzen_5/5600x,Desktop,65.0,6,12.0
amd ryzen 5 7600x,,https://en.wikichip.org/wiki/amd/ryzen_5/7600x,Desktop,105.0,6,12.0
amd ryzen 5 pro 1500,2017-06-29,https://en.wikichip.org/wiki/amd/ryzen_5/pro_1500,Desktop,65.0,4,8.0
amd ryzen 5 pro 1600,,https://en.wikichip.org/wiki/amd/ryzen_5/pro_1600,Desktop,65.0,6,12.0
amd ryzen 5 pro 2400g,2018-05-10,https://en.wikichip.org/wiki/amd/ryzen_5/pro_2400g,Desktop,65.0,4,8.0
