product_id,name,time,source,intended_usage,cores,threads,tdp (W)
241825,Intel® Xeon® 6747P Processor,2025-06-12 13:45:08,https://www.intel.com/content/www/us/en/products/sku/241825/intel-xeon-6747p-processor-288m-cache-2-70-ghz/specifications.html,compute cluster,48,96,330.0
242637,Intel® Xeon® 6748P Processor,2025-06-12 13:45:08,https://www.intel.com/content/www/us/en/products/sku/242637/intel-xeon-6748p-processor-192m-cache-2-50-ghz/specifications.html,compute cluster,48,96,300.0
241836,Intel® Xeon® 6760P Processor,2025-06-12 13:45:09,https://www.intel.com/content/www/us/en/products/sku/241836/intel-xeon-6760p-processor-320m-cache-2-20-ghz/specifications.html,compute cluster,64,128,330.0
241842,Intel® Xeon® 6761P Processor,2025-06-12 13:45:09,https://www.intel.com/content/www/us/en/products/sku/241842/intel-xeon-6761p-processor-336m-cache-2-50-ghz/specifications.html,compute cluster,64,128,350.0
241845,Intel® Xeon® 6767P Processor,2025-06-12 13:45:09,https://www.intel.com/content/www/us/en/products/sku/241845/intel-xeon-6767p-processor-336m-cache-2-40-ghz/specifications.html,compute cluster,64,128,350.0
241840,Intel® Xeon® 6768P Processor,2025-06-12 13:45:09,https://www.intel.com/content/www/us/en/products/sku/241840/intel-xeon-6768p-processor-336m-cache-2-40-ghz/specifications.html,compute cluster,64,128,330.0
241834,Intel® Xeon® 6781P Processor,2025-06-12 13:45:10,https://www.intel.com/content/www/us/en/products/sku/241834/intel-xeon-6781p-processor-336m-cache-2-00-ghz/specifications.html,compute cluster,80,160,350.0
241844,Intel® Xeon® 6787P Processor,2025-06-12 13:45:10,https://www.intel.com/content/www/us/en/products/sku/241844/intel-xeon-6787p-processor-336m-cache-2-00-ghz/specifications.html,compute cluster,86,172,350.0
241837,Intel® Xeon® 6788P Processor,2025-06-12 13:45:10,https://www.intel.com/content/www/us/en/products/sku/241837/intel-xeon-6788p-processor-336m-cache-2-00-ghz/specifications.html,compute cluster,86,172,350.0
242856,Intel® Xeon® 6944P Processor,2025-06-12 13:45:10,https://www.intel.com/content/www/us/en/products/sku/242856/intel-xeon-6944p-processor-432m-cache-1-80-ghz/specifications.html,compute cluster,72,144,350.0
241643,Intel® Xeon® 6952P Processor,2025-06-12 13:45:10,https://www.intel.com/content/www/us/en/products/sku/241643/intel-xeon-6952p-processor-480m-cache-2-10-ghz/specifications.html,compute cluster,96,192,400.0
240775,Intel® Xeon® 6960P Processor,2025-06-12 13:45:10,https://www.intel.com/content/www/us/en/products/sku/240775/intel-xeon-6960p-processor-432m-cache-2-70-ghz/specifications.html,compute cluster,72,144,500.0
240785,Intel® Xeon® 6972P Processor,2025-06-12 13:45:11,https://www.intel.com/content/www/us/en/products/sku/240785/intel-xeon-6972p-processor-480m-cache-2-40-ghz/specifications.html,compute cluster,96,192,500.0
240781,Intel® Xeon® 6979P Processor,2025-06-12 13:45:11,https://www.intel.com/content/www/us/en/products/sku/240781/intel-xeon-6979p-processor-504m-cache-2-10-ghz/specifications.html,compute cluster,120,240,500.0
240777,Intel® Xeon® 6980P Processor,2025-06-12 13:45:11,https://www.intel.com/content/www/us/en/products/sku/240777/intel-xeon-6980p-processor-504m-cache-2-00-ghz/specifications.html,compute cluster,128,256,500.0
240363,Intel® Xeon® 6710E Processor,2025-06-12 13:45:11,https://www.intel.com/content/www/us/en/products/sku/240363/intel-xeon-6710e-processor-96m-cache-2-40-ghz/specifications.html,compute cluster,64,64,205.0
240366,Intel® Xeon® 6731E Processor,2025-06-12 13:45:12,https://www.intel.com/content/www/us/en/products/sku/240366/intel-xeon-6731e-processor-96m-cache-2-20-ghz/specifications.html,compute cluster,96,96,250.0
240359,Intel® Xeon® 6740E Processor,2025-06-12 13:45:12,https://www.intel.com/content/www/us/en/products/sku/240359/intel-xeon-6740e-processor-96m-cache-2-40-ghz/specifications.html,compute cluster,96,96,250.0
240369,Intel® Xeon® 6746E Processor,2025-06-12 13:45:12,https://www.intel.com/content/www/us/en/products/sku/240369/intel-xeon-6746e-processor-96m-cache-2-00-ghz/specifications.html,compute cluster,112,112,250.0
240361,Intel® Xeon® 6756E Processor,2025-06-12 13:45:12,https://www.intel.com/content/www/us/en/products/sku/240361/intel-xeon-6756e-processor-96m-cache-1-80-ghz/specifications.html,compute cluster,128,128,225.0
240365,Intel® Xeon® 6766E Processor,2025-06-12 13:45:12,https://www.intel.com/content/www/us/en/products/sku/240365/intel-xeon-6766e-processor-108m-cache-1-90-ghz/specifications.html,compute cluster,144,144,250.0
240362,Intel® Xeon® 6780E Processor,2025-06-12 13:45:12,https://www.intel.com/content/www/us/en/products/sku/240362/intel-xeon-6780e-processor-108m-cache-2-20-ghz/specifications.html,compute cluster,144,144,330.0
236639,Intel® Xeon® Bronze 3508U Processor,2025-06-12 13:45:12,https://www.intel.com/content/www/us/en/products/sku/236639/intel-xeon-bronze-3508u-processor-22-5m-cache-2-10-ghz/specifications.html,compute cluster,8,8,125.0
237565,Intel® Xeon® Gold 5512U Processor,2025-06-12 13:45:13,https://www.intel.com/content/www/us/en/products/sku/237565/intel-xeon-gold-5512u-processor-52-5m-cache-2-10-ghz/specifications.html,compute cluster,28,56,185.0
237562,Intel® Xeon® Gold 5515+ Processor,2025-06-12 13:45:13,https://www.intel.com/content/www/us/en/products/sku/237562/intel-xeon-gold-5515-processor-22-5m-cache-3-20-ghz/specifications.html,compute cluster,8,16,165.0
237561,Intel® Xeon® Gold 5520+ Processor,2025-06-12 13:45:13,https://www.intel.com/content/www/us/en/products/sku/237561/intel-xeon-gold-5520-processor-52-5m-cache-2-20-ghz/specifications.html,compute cluster,28,56,205.0
237560,Intel® Xeon® Gold 6526Y Processor,2025-06-12 13:45:13,https://www.intel.com/content/www/us/en/products/sku/237560/intel-xeon-gold-6526y-processor-37-5m-cache-2-80-ghz/specifications.html,compute cluster,16,32,195.0
